Dates,AAPL,AMZN
2000-06-27,0.924,1.825
2000-06-28,0.972,1.894
2000-06-29,0.915,1.856
2000-06-30,0.935,1.816
2000-07-03,0.952,1.85
2000-07-05,0.922,1.825
2000-07-06,0.925,1.803
2000-07-07,0.972,1.806
2000-07-10,1.02,1.753
2000-07-11,1.017,1.656
2000-07-12,1.051,1.753
2000-07-13,1.009,1.75
2000-07-14,1.03,2.125
2000-07-17,1.041,2.056
2000-07-18,1.022,2.088
2000-07-19,0.941,2.044
2000-07-20,0.984,2.016
2000-07-21,0.956,2.056
2000-07-24,0.869,1.938
2000-07-25,0.894,1.881
2000-07-26,0.894,1.803
2000-07-27,0.929,1.569
2000-07-28,0.863,1.5
2000-07-31,0.907,1.506
2000-08-01,0.881,1.513
2000-08-02,0.844,1.541
2000-08-03,0.857,1.575
2000-08-04,0.846,1.625
2000-08-07,0.856,1.691
2000-08-08,0.835,1.647
2000-08-09,0.848,1.544
2000-08-10,0.849,1.522
2000-08-11,0.852,1.684
2000-08-14,0.84,1.744
2000-08-15,0.834,1.878
2000-08-16,0.866,1.931
2000-08-17,0.919,1.913
2000-08-18,0.893,1.95
2000-08-21,0.902,1.875
2000-08-22,0.923,1.825
2000-08-23,0.97,1.941
2000-08-24,1.002,1.969
2000-08-25,1.015,1.997
2000-08-28,1.037,1.956
2000-08-29,1.057,1.981
2000-08-30,1.063,2.147
2000-08-31,1.088,2.075
2000-09-01,1.133,2.075
2000-09-05,1.115,2.284
2000-09-06,1.044,2.294
2000-09-07,1.107,2.175
2000-09-08,1.051,2.147
2000-09-11,1.044,2.119
2000-09-12,1.031,2.134
2000-09-13,1.036,2.122
2000-09-14,1.015,2.244
2000-09-15,0.986,2.181
2000-09-18,1.083,2.141
2000-09-19,1.07,2.038
2000-09-20,1.09,1.875
2000-09-21,1.012,2.003
2000-09-22,0.932,2.072
2000-09-25,0.955,2.019
2000-09-26,0.919,1.988
2000-09-27,0.874,1.894
2000-09-28,0.955,2.0
2000-09-29,0.46,1.922
2000-10-02,0.433,1.794
2000-10-03,0.398,1.753
2000-10-04,0.422,1.8
2000-10-05,0.394,1.678
2000-10-06,0.396,1.578
2000-10-09,0.388,1.503
2000-10-10,0.373,1.522
2000-10-11,0.35,1.391
2000-10-12,0.357,1.256
2000-10-13,0.394,1.422
2000-10-16,0.384,1.216
2000-10-17,0.359,1.097
2000-10-18,0.359,1.256
2000-10-19,0.338,1.388
